State,Enrollment,"Homicide with weapon(s)","Homicide Without Weapon(s)","Focible Sex Offense With Weapon(s)","Forcible Sex Offenses Without Weapon(s)","Other Sex offenses With Weapon(s)","Other Sex offenses Without Weapon(s)","Robbery With Weapon(s)","Robbery Without Weapon(s)","Assault With Serious Physical Injury With Weapon(s)","Assault With Serious Physical Injury Without Weapon(s)","Arson With Weapon(s)","Kidnapping With Weapon(s)","Kidnapping Without Weapon(s)","Assault with Physical Injury With Weapon(s)","Assault with Physical Injury Without Weapon(s)","Reckless Endangerment With Weapon(s)","Reckless Endangerment Without Weapon(s)","Minor Altercations With Weapon(s)","Minor Altercations Without Weapon(s)","Intimidation, Harassment, Menacing, or Bullying With Weapon(s)","Intimidation, Harassment, Menacing, or Bullying Without Weapon(s)","Burglary With Weapon(s)","Burglary Without Weapon(s)","Criminal Mischief With Weapon(s)","Criminal Mischief Without Weapon(s)","Larceny, or Other Theft With Weapon(s)","Larceny, or Other Theft Without Weapon(s)","Bomb Threat","False Alarm","Riot With Weapon(s)","Riot Without Weapon(s)","Weapon Possession Through Screening","Weapon Possession Under Other Circumstances","Use Possession or Sale of Drugs","Use Possession or Sale of Alcohol","Other Disruptive Incidents"
"Honeoye Elementary School",364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Honeoye High School",383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,3,0,5,0,0,0,0,0,0,1,0,138
"Honeoye Middle School",246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,11
"Red Jacket Elementary School",389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Red Jacket High School",304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,0,0,0,0,0,2,0,0,0,0,0,0,4,0,92
"Red Jacket Middle School",211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,35
"Naples Elementary School",417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Naples High School",444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,1,2,0,0,0,0,4,4,2,20
"Midlakes High School",685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,28,0,11,0,0,0,0,0,2,1,0,0,0,0,2,7,0,33
"Midlakes Intermediate School",402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,17,0,2,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0
"Midlakes Middle School",465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,6,0,0,0,1,0,1,0,0,0,0,0,1,1,0,37
"Midlakes Primary School",377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Victor Early Childhood Center",354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Victor Intermediate School",863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,9,0,0,0,0,0,1,3,0,0,0,0,0,0,0,8
"Victor Junior High School",608,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4
"Victor Primary School",935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Victor Senior High School",1102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,11,0,0,0,0,0,7,0,0,0,0,0,0,8,5,28
"Chester Elementary School",449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
"Chester Middle/Senior High School",548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,1,0,5,0,0,0,0,0,1,0,0,8
"Cornwall Central High School",1094,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,3,0,22,0,8,0,0,0,1,0,11,0,0,0,0,0,2,2,6,109
"Cornwall Elementary School",578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Cornwall Middle School",1039,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,1,0,22,0,6,0,0,0,2,0,1,0,0,0,0,0,1,0,1,13
"Cornwall-On-Hudson Elementary School",232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Willow Avenue Elementary School",313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Golden Hill Elementary",383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"S S Seward Institute",461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,7,0,0,0,1,0,1,0,0,0,0,0,1,4,2,35
"C J Hooker Middle School",706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,2,0,3,0,0,0,0,0,2,1,0,12
"Goshen Central High School",909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,8,0,1,0,2,0,11,0,0,0,0,0,0,3,1,25
"Goshen Intermediate School",617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Scotchtown Avenue School",673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greenwood Lake Elementary School",330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greenwood Lake Middle School",311,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,18,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,2,11
"Fort Montgomery Elementary School",200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Highland Falls Elementary School",142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Highland Falls Middle School",257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"James I O'Neill High School",604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,1,0,1,0,1,0,0,2,0,0,3,9
"Kiryas Joel Village School",322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"John W Chorley School",598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Maple Hill Elementary School",1259,0,0,0,0,0,3,0,0,0,5,0,0,0,0,2,8,0,0,0,0,5,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
"Mechanicstown School",893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,3,0,0,0,0,0,2,0,0,0,0,0,2,0,0,23
"Middletown High School",2164,0,0,0,0,0,2,0,0,0,0,0,0,0,1,6,1,5,2,29,0,98,0,0,0,22,0,9,0,0,0,0,0,10,7,3,467
"Middletown Twin Towers Middle School",743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15,0,49,0,23,0,0,0,3,0,3,0,0,0,0,0,4,2,0,44
"Monhagen Middle School",776,0,0,0,0,0,3,0,0,0,1,0,0,0,0,9,0,8,0,56,0,25,0,0,0,4,0,5,0,1,0,0,0,9,4,0,99
"Truman Moon School",389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Minisink Valley Elementary School",662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Minisink Valley High School",1582,0,0,0,0,0,6,0,0,0,0,2,0,0,0,10,1,2,0,31,1,7,0,0,0,1,0,14,0,0,0,0,0,7,12,3,21
"Minisink Valley Intermediate School",901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,1,0,0,0,0,0,0,0,4,0,0,10
"Minisink Valley Middle School",1116,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,14,0,5,0,0,0,1,0,1,0,0,0,0,0,1,6,0,5
"Otisville Elementary School",384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Central Valley School",715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monroe Woodbury High School",2433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,40,0,29,1,0,0,4,0,5,0,0,0,0,0,2,6,5,66
"Monroe Woodbury Middle School",1816,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,29,0,35,0,0,0,1,0,14,0,2,0,0,0,1,0,1,31
"North Main Street School",594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pine Tree Elementary School",864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Sapphire Elementary School",400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Smith Clove Elementary School",670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Balmville School",324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
"Fostertown Etc Magnet School",603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,10,0,8,0,0,0,0,0,3,0,0,0,0,0,2,0,0,35
"Gams Tech Magnet School",1027,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,1,0,29,0,8,0,0,0,1,0,8,0,0,0,0,0,7,0,0,65
"Gardnertown Fundamental Magnet School",712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
"Heritage Junior High School",904,0,0,0,0,0,0,0,2,0,0,1,0,0,0,15,0,3,0,43,0,31,0,0,0,5,0,9,0,0,0,0,1,2,4,1,341
"Horizon-On-The-Hudson Magnet School",467,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,53,0,15,0,1,0,0,0,1,0,0,0,0,0,3,1,0,63
"Meadow Hill Global Explorations Magnet School",1074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,27,0,0,0,8,0,1,0,0,0,0,0,4,1,0,157
"New Windsor School",505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,10,0,7,0,0,0,0,0,2,0,0,0,0,0,7,0,0,20
"Newburgh Free Academy",2761,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,0,2,0,139,0,26,0,0,0,5,0,7,0,0,0,0,0,6,3,4,886
"North Junior High School",1030,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,2,0,121,0,29,0,0,0,1,0,2,1,2,0,0,1,6,1,4,250
"Prekindergarten At Renwick Street",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prekindergarten At Washington St",358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"South Junior High School",962,0,0,0,0,0,3,0,0,0,2,1,0,0,0,10,0,1,0,152,0,40,0,0,0,2,0,13,0,2,0,0,1,5,2,0,757
"Temple Hill School",1130,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,3,0,46,0,9,0,0,0,0,0,7,0,0,0,0,0,4,0,0,478
"Vails Gate High Tech Magnet School",639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1,70,0,40,0,0,0,0,0,12,0,0,0,0,0,3,0,0,54
"Circleville Elementary School",638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"Circleville Middle School",635,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,0,10,0,0,0,1,0,1,0,0,0,0,0,3,0,0,31
"Crispell Middle School",832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,24
"E J Russell Elementary School",710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pakanasink Elementary School",526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Pine Bush Elementary School",784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
"Pine Bush Senior High School",2061,0,0,0,0,0,7,0,1,0,0,0,0,0,0,9,0,0,0,57,0,33,0,0,0,6,0,20,0,1,0,0,0,23,8,4,305
"Anna S Kuhl Elementary School",989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,4,0,0,0,2,0,0,0,1,0,0,0,1,0,0,2
"N A Hamilton Bicentenial School",584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Port Jervis Middle School",530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,43,0,37,0,0,0,5,0,10,0,1,0,0,0,1,0,0,280
"Port Jervis Senior High School",1121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,32,0,16,0,0,0,5,0,0,0,0,0,0,0,3,4,1,154
"George F Baker High School",396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1
"George Grant Mason Elementary School",259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Berea Elementary School",426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"East Coldenham Elementary School",344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Maybrook Elementary School",260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
"Montgomery Elementary School",612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"Valley Central High School",1750,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,105,0,6,0,0,0,5,0,10,0,0,0,0,0,5,2,2,965
"Valley Central Middle School",1184,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,70,0,41,0,0,0,1,0,3,0,0,0,0,0,4,5,0,84
"Walden Elementary School",569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,40
"Kings Elementary School",530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Park Avenue Elementary School",483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Pine Island School",223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sanfordville Elementary School",613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Warwick Valley High School",1581,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,5,0,5,0,16,0,0,0,11,0,4,0,0,0,0,0,1,4,4,110
"Warwick Valley Middle School",1091,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,1,0,35,0,3,0,0,0,0,0,2,0,0,0,0,0,4,0,0,70
"Little Britain Elementary School",569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Round Hill Elementary School",706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Taft Elementary School",747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Washingtonville Middle School",1171,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,1,0,21,0,5,0,0,0,0,0,5,0,0,0,0,0,3,1,0,9
"Washingtonville Senior High School",1653,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,9,0,41,0,15,0,0,0,3,0,10,0,0,0,0,0,4,8,12,100
"Carl I Bergerson Middle School",607,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,14,0,2,0,0,0,2,0,1,0,0,0,0,0,1,8,0,9
"Charles D'Amico High School",847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,16,0,0,0,0,0,3,0,0,0,0,0,5,2,0,8
"Ronald L Sodoma Elementary School",1104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"Holley Elementary School",616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,70,0,32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,83
"Holley Junior Senior High School",640,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,27,0,26,0,0,0,7,0,1,1,0,0,0,0,2,7,1,35
"Kendall Elementary School",439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Kendall Junior-Senior High School",520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,8,0,0,0,5,0,2,1,0,0,0,0,0,0,0,24
"L A Webber Middle-High School",269,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,1,0,0,3,1,0,0,0,3,2,1,58
"Lyndonville Elementary School",283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Lyndonville Middle School",224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8,0,11,0,0,0,0,0,0,0,4,0,0,0,0,0,0,28
"Clifford Wise Middle School",442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Medina High School",602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,5,0,0,0,1,0,5,0,0,0,0,0,0,2,0,0
"Oak Orchard School",405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Warren P Towne Elementary School",448,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,2,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
"Altmar Elementary School",233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Altmar-Parish-Williamstown High School",563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,0,79,0,1,0,30,0,1,0,2,0,0,0,1,0,1,170
"Altmar-Parish-Williamstown Middle School",352,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,35,0,21,0,0,0,0,0,6,0,0,0,0,0,0,6,0,17
"Parish Elementary School",220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"Williamstown Elementary School",185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,12,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,51
"Aura A Cole Elementary School",262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Brewerton Elementary School",463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Central Square Intermediate School",383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Central Square Middle School",1216,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,1,0,22,0,4,0,0,0,0,0,0,1,0,0,0,0,3,4,0,0
"Cleveland Elementary School",240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hastings Mallory Elementary School",302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Millard Hawk Primary School",466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paul V Moore High School",1548,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,2,0,34,3,12,0,0,0,5,0,9,0,0,0,0,0,4,12,8,53
"Fairgrieve School",567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fulton Junior High School",623,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,1,5,0,52,0,13,0,0,0,7,0,4,0,0,0,0,0,6,3,0,368
"G Ray Bodley High School",1171,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,15,0,5,0,0,0,2,0,4,0,0,0,0,0,1,6,1,385
"Granby Elementary School",514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"J E Lanigan School",460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Volney Elementary School",418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
"Fairley School",640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Hannibal High School",509,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,30,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
"Kenney Middle School",541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,41,0,7,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
"Mexico Elementary School",387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico High School",926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,4,0,28,0,12,0,0,0,3,0,2,0,0,0,0,0,6,4,1,4
"Mexico Middle School",736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,35,0,3,0,0,0,0,0,6,0,0,0,0,0,3,1,0,9
"New Haven Elementary School",223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Palermo Elementary School",216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Charles E Riley Elementary School",415,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"Fitzhugh Park Elementary School",452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
"Kingsford Park Elementary School",417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"Leighton Elementary School",447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12
"Minetto Elementary School",418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oswego High School",1665,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,2,6,5,3
"Oswego Middle School",727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,59,0,38,0,0,0,1,0,3,0,0,0,0,0,1,0,0,13
"Emerson J Dillon Middle School",538,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,5,0,12,0,23,0,0,0,0,0,1,2,0,0,0,0,1,1,0,2
"John C Birdlebough High School",753,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,1,0,27,0,62,0,0,0,6,0,2,0,0,0,0,1,0,18,0,0
"Michael A Maroun Elementary School",1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,13,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
"Pulaski Elementary School",647,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pulaski Junior-Senior High School",600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,20,0,0,0,3,0,8,0,0,0,0,0,0,0,0,220
