"County Name","District Name","School Name","BEDS CODE",Enrollment,"School Type","Homicide with weapon(s)","Homicide Without Weapon(s)","Focible Sex Offense With Weapon(s)","Forcible Sex Offenses Without Weapon(s)","Other Sex offenses With Weapon(s)","Other Sex offenses Without Weapon(s)","Robbery With Weapon(s)","Robbery Without Weapon(s)","Assault With Serious Physical Injury With Weapon(s)","Assault With Serious Physical Injury Without Weapon(s)","Arson With Weapon(s)","Kidnapping With Weapon(s)","Kidnapping Without Weapon(s)","Assault with Physical Injury With Weapon(s)","Assault with Physical Injury Without Weapon(s)","Reckless Endangerment With Weapon(s)","Reckless Endangerment Without Weapon(s)","Minor Altercations With Weapon(s)","Minor Altercations Without Weapon(s)","Intimidation, Harassment, Menacing, or Bullying With Weapon(s)","Intimidation, Harassment, Menacing, or Bullying Without Weapon(s)","Burglary With Weapon(s)","Burglary Without Weapon(s)","Criminal Mischief With Weapon(s)","Criminal Mischief Without Weapon(s)","Larceny, or Other Theft With Weapon(s)","Larceny, or Other Theft Without Weapon(s)","Bomb Threat","False Alarm","Riot With Weapon(s)","Riot Without Weapon(s)","Weapon Possession Through Screening","Weapon Possession Under Other Circumstances","Use Possession or Sale of Drugs","Use Possession or Sale of Alcohol","Other Disruptive Incidents"
MONROE,"Greece Central School District","Parkland Elementary School Campus",260501060014,325,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,18,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
MONROE,"Greece Central School District","Pine Brook Elementary School",260501060024,592,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
MONROE,"Greece Central School District","West Ridge Ementary School",260501060007,416,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONROE,"Hilton Central School District","Hilton High School",261101060004,1514,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,6,0,0,0,1,0,2,2,0,0,0,0,1,2,0,15
MONROE,"Hilton Central School District","Merton Williams Middle School",261101060005,704,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,12,0,0,0,0,0,6,0,0,0,0,0,0,1,0,10
MONROE,"Hilton Central School District","Northwood Elementary School",261101060006,852,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MONROE,"Hilton Central School District","Quest Elementary School",261101060002,407,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONROE,"Hilton Central School District","Village Elementary School",261101060001,974,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONROE,"Honeoye Falls-Lima Central School District","Honeoye Falls-Lima Middle School",260901060005,663,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,2,0,3,0,0,0,0,0,1,3,1,3
MONROE,"Honeoye Falls-Lima Central School District","Honeoye Falls-Lima Senior High School",260901060004,887,Public,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,8,0,5,0,0,0,1,0,0,1,0,0,0,0,2,3,3,8
MONROE,"Honeoye Falls-Lima Central School District","Lima Elementary School",260901060001,346,Public,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONROE,"Honeoye Falls-Lima Central School District","Manor Intermediate School",260901060002,746,Public,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONROE,N/A,"Eugenio Maria De Hostos Charter School",261600860811,290,Charter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111
MONROE,N/A,"Genesee Community Charter School At The Rochester Museum",261600860826,212,Charter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONROE,N/A,"True North Rochester Preparatory Charter School (The)",261600860906,81,Charter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
MONROE,N/A,"Urban Choice Charter School",261600860877,264,Charter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
MONROE,"Penfield Central School District","Bay Trail Middle School",261201060008,1165,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MONROE,"Penfield Central School District","Cobbles Elementary School",261201060003,498,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MONROE,"Penfield Central School District","Harris Hill Elementary School",261201060009,514,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MONROE,"Penfield Central School District","Indian Landing Elementary School",261201060004,454,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONROE,"Penfield Central School District","Penfield Senior High School",261201060006,1632,Public,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,1,1,27,0,6,0,0,0,2,0,8,17,0,0,0,0,6,10,4,64
MONROE,"Penfield Central School District","Scribner Road Elementary School",261201060005,515,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
MONROE,"Pittsford Central School District","Allen Creek School",261401060001,360,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MONROE,"Pittsford Central School District","Barker Road Middle School",261401060008,733,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8
MONROE,"Pittsford Central School District","Calkins Road Middle School",261401060011,726,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,1,0,0,0,0,0,0,0,0,12
MONROE,"Pittsford Central School District","Jefferson Road School",261401060002,444,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
MONROE,"Pittsford Central School District","Mendon Center Elementary School",261401060005,778,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONROE,"Pittsford Central School District","Park Road School",261401060004,479,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
MONROE,"Pittsford Central School District","Pittsford Sutherland High School",261401060006,963,Public,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,3,0,0,0,4,0,2,1,0,0,0,0,0,3,19,11
MONROE,"Pittsford Central School District","Pittsford-Mendon High School",261401060010,986,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,1,1,3,10
MONROE,"Pittsford Central School District","Thornell Road School",261401060009,520,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
MONROE,"Rochester City School District","Benjamin Franklin Montessori School",261600010053,156,Public,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
MONROE,"Rochester City School District","Bioscience & Health Career Hs At Franklin",261600010076,588,Public,0,0,0,0,0,2,0,0,0,2,0,0,0,0,8,0,1,0,91,0,120,0,0,0,4,0,4,0,3,0,1,7,1,6,0,188
MONROE,"Rochester City School District","Charlotte High School",261600010060,1030,Public,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,76,0,23,0,0,0,0,0,2,0,1,0,0,6,2,0,0,134
MONROE,"Rochester City School District","Dr Freddie Thomas High School",261600010085,903,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,37,0,0,0,0,0,2,0,0,0,0,4,0,0,0,171
MONROE,"Rochester City School District","East High School",261600010061,1901,Public,0,0,0,0,0,1,0,0,0,0,0,0,0,1,13,0,7,0,69,0,13,0,0,0,6,0,4,0,2,0,0,3,15,12,2,1335
MONROE,"Rochester City School District","Frederick Douglass Preparatory School",261600010072,965,Public,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14,0,18,0,56,0,50,0,0,0,0,0,6,0,0,0,0,3,2,4,1,316
MONROE,"Rochester City School District","Global Media Arts Hs At Franklin",261600010084,547,Public,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,2,1,15,0,4,0,0,0,0,0,3,0,0,0,0,7,0,3,0,334
MONROE,"Rochester City School District","International Finance & Economic Development Hs At Franklin",261600010086,536,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,21,0,7,0,0,0,1,0,1,0,0,0,0,2,3,5,3,345
MONROE,"Rochester City School District","James Monroe High School",261600010066,1292,Public,0,0,0,0,0,1,0,3,0,3,1,0,0,0,16,0,2,0,126,0,35,0,0,0,1,0,0,0,0,0,1,2,4,3,1,186
MONROE,"Rochester City School District","John Marshall High School",261600010065,1124,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,83
MONROE,"Rochester City School District","Joseph C Wilson Magnet High School",261600010067,1881,Public,0,0,0,0,0,3,0,0,0,1,2,0,0,0,13,1,3,1,143,0,152,0,0,0,2,0,3,0,0,0,0,6,8,8,0,634
MONROE,"Rochester City School District","Northeast College Preparatory High School",261600010073,156,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,48
MONROE,"Rochester City School District","Northwest College Preparatory High School",261600010089,145,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
MONROE,"Rochester City School District","School 12-James P B Duffy",261600010012,711,Public,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,4,0,17,0,14,0,0,0,1,0,0,0,0,0,0,0,3,0,0,24
MONROE,"Rochester City School District","School 14-Chester Dewey",261600010014,371,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
MONROE,"Rochester City School District","School 15-Children'S School Of Rochester (The)",261600010015,300,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
MONROE,"Rochester City School District","School 16-John Walton Spencer",261600010016,489,Public,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,11,0,29,0,9,0,0,0,0,0,0,1,0,0,0,0,4,0,0,38
MONROE,"Rochester City School District","School 17-Enrico Fermi",261600010017,493,Public,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,4,0,45,0,4,0,0,0,0,0,0,0,0,0,0,3,1,1,0,90
